source_id,ra,dec,vari_class,period_day
1,278.6241774801468,61.691754385164984,DSCT,109.11368482128769
2,157.99623831073885,-9.649891414132298,DSCT,331.4807038952813
3,309.09525116809766,81.5355290808186,CEP,383.44241707539146
4,251.052490461371,27.143026149192607,CEP,83.35973970708578
5,33.90384523955383,-69.1382042425351,LPV,21.97694879478709
6,351.22404658923216,69.31673788082412,LPV,219.8217082819043
7,274.0102927165271,-1.9322656504564009,CEP,387.02334179191894
8,282.9831498997034,-64.5049857648771,RRLYR,325.40737879529263
9,46.12090776319651,-62.51577590854427,CEP,350.9557661212749
10,162.13893764240416,33.75610831977693,DSCT,201.44952802968453
11,133.48728872372925,-81.47294878869184,DSCT,117.51102534927227
12,333.63539598549664,-38.41312231551361,RRLYR,265.9128327001405
13,231.79144322903923,-64.83823371542374,RRLYR,102.22262858991098
14,296.1941807774988,-10.606062668888839,CEP,363.1280370576836
15,159.6291115778392,-15.416321041014967,LPV,98.52337965694053
16,81.80593984251968,3.937758243994068,RRLYR,145.667070193835
17,199.65052332570053,-39.66546076154456,CEP,253.29706192258655
18,22.974212197503117,-84.23215391192811,RRLYR,243.3806315750403
19,297.94722191732956,20.589499176333433,RRLYR,300.44464573469435
20,227.39918368394333,-22.73075948117676,DSCT,218.75042801993348
21,272.9115864307346,27.24029977320835,CEP,459.7406805896202
22,127.62934852675261,-70.43994525523168,CEP,419.97505039388426
23,349.4512887821652,-87.52007604707094,LPV,439.5627699457574
24,321.5236036759912,-45.30703538064731,RRLYR,314.7768098731486
25,280.21805894655427,-7.821481861070609,RRLYR,317.5222075346102
26,70.06993482670833,-19.067044649675893,LPV,304.61888192378854
27,168.0195613417323,55.85445994922395,DSCT,217.47033300300706
28,15.76935568340236,-21.989224045291692,RRLYR,161.08689523357796
29,55.544217144317216,5.479412328554204,CEP,296.0218435800627
30,245.89762316728365,16.832806639594594,DSCT,12.814641977368233
31,268.1143761268142,-86.07034950375392,CEP,3.7778428903303265
32,348.3035036763156,2.7240078323140153,DSCT,425.8283310570595
33,117.2971289297347,-27.930373308209184,DSCT,23.25970118657221
34,133.3654941725528,-14.169577017014163,CEP,262.42133540919235
35,169.04009205929086,-71.94826827085495,LPV,307.51313208667506
36,68.20968927034285,50.907701816756145,CEP,99.12570624973668
37,46.77174192076979,79.63276514553405,LPV,447.87063259066093
38,171.25377344133614,-85.991612286672,RRLYR,95.08838108560008
39,81.68736565831828,18.24709730604262,CEP,442.263267933969
40,241.13303808570373,47.49193211190445,DSCT,381.50698515305095
41,157.37469079403905,-38.7346340430199,LPV,120.40943961442076
42,299.7641505808215,51.760005275379,RRLYR,75.41454592973297
43,252.0954367208097,23.823909137934223,LPV,158.15054345760825
44,112.45199089753478,77.2492738087926,RRLYR,199.00538560682384
45,299.6135285022724,86.5808660436791,CEP,122.93004901563677
46,289.7151686988487,-82.37769948023313,CEP,499.4458297997739
47,139.4922164508628,-9.91120301513888,CEP,114.86468550297853
48,103.79811741488788,8.457801764079278,LPV,415.32588175007936
49,245.6983814309912,-63.58621802262255,DSCT,79.60091765788185
50,50.31089409935153,-29.468550523074896,LPV,490.1233004067099
51,71.966952891039,87.7765405961631,CEP,112.80045296862826
52,2.6504171103619845,-87.07851785835514,LPV,210.87319296405695
53,283.2927759007698,-8.548572325610863,CEP,279.30410518061484
54,239.34630837313156,61.67783190927531,DSCT,60.18684329228885
55,253.85953630548065,-31.697772710528085,DSCT,408.4191927361767
56,281.0624511679084,-3.636269504072402,DSCT,137.3790320637809
57,165.20967919380237,86.04823424183638,DSCT,274.65748730575183
58,204.74683054304174,-4.522169434373296,CEP,274.8394236560888
59,50.32691932595668,-66.43416381363016,DSCT,301.34019413027625
60,41.23082647295044,-80.6901315000496,LPV,27.79021896283113
61,240.62506624456978,80.17498303919072,CEP,84.35094997769235
62,169.5946342115277,-42.15430561048818,DSCT,80.63806184953593
63,203.48499833322796,0.7315031816191606,RRLYR,151.06052714495516
64,275.39958866976923,-73.67368210380565,CEP,72.49983272132701
65,228.4985952002127,-13.742078300891095,LPV,460.96456432110614
